ID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
1	CCSS.ELA-LITERACY.CCRA.R.1	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
2	CCSS.ELA-LITERACY.CCRA.R.2	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
3	CCSS.ELA-LITERACY.CCRA.R.3	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Analyze how and why individuals, events, or ideas develop and interact over the course of a text.
4	CCSS.ELA-LITERACY.CCRA.R.4	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.
5	CCSS.ELA-LITERACY.CCRA.R.5	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.
6	CCSS.ELA-LITERACY.CCRA.R.6	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Assess how point of view or purpose shapes the content and style of a text.
7	CCSS.ELA-LITERACY.CCRA.R.7	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.
8	CCSS.ELA-LITERACY.CCRA.R.8	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.
9	CCSS.ELA-LITERACY.CCRA.R.9	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
10	CCSS.ELA-LITERACY.CCRA.R.10	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Read and comprehend complex literary and informational texts independently and proficiently.
11	CCSS.ELA-LITERACY.CCRA.W.1	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence.
12	CCSS.ELA-LITERACY.CCRA.W.2	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.
13	CCSS.ELA-LITERACY.CCRA.W.3	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.
14	CCSS.ELA-LITERACY.CCRA.W.4	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.
15	CCSS.ELA-LITERACY.CCRA.W.5	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.
16	CCSS.ELA-LITERACY.CCRA.W.6	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.
17	CCSS.ELA-LITERACY.CCRA.W.7	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.
18	CCSS.ELA-LITERACY.CCRA.W.8	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.
19	CCSS.ELA-LITERACY.CCRA.W.9	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Draw evidence from literary or informational texts to support analysis, reflection, and research.
20	CCSS.ELA-LITERACY.CCRA.W.10	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Writing	ela-anchor-standard	Writing	K-12	Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.
21	CCSS.ELA-LITERACY.CCRA.SL.1	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Speaking and Listening	ela-anchor-standard	Speaking and Listening	K-12	Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.
22	CCSS.ELA-LITERACY.CCRA.SL.2	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Speaking and Listening	ela-anchor-standard	Speaking and Listening	K-12	Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.
23	CCSS.ELA-LITERACY.CCRA.SL.3	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Speaking and Listening	ela-anchor-standard	Speaking and Listening	K-12	Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric.
24	CCSS.ELA-LITERACY.CCRA.SL.4	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Speaking and Listening	ela-anchor-standard	Speaking and Listening	K-12	Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.
25	CCSS.ELA-LITERACY.CCRA.SL.5	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Speaking and Listening	ela-anchor-standard	Speaking and Listening	K-12	Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.
26	CCSS.ELA-LITERACY.CCRA.SL.6	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Speaking and Listening	ela-anchor-standard	Speaking and Listening	K-12	Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.
27	CCSS.ELA-LITERACY.CCRA.L.1	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Language	ela-anchor-standard	Language	K-12	Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
28	CCSS.ELA-LITERACY.CCRA.L.2	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Language	ela-anchor-standard	Language	K-12	Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.
29	CCSS.ELA-LITERACY.CCRA.L.3	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Language	ela-anchor-standard	Language	K-12	Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.
30	CCSS.ELA-LITERACY.CCRA.L.4	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Language	ela-anchor-standard	Language	K-12	Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.
31	CCSS.ELA-LITERACY.CCRA.L.5	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Language	ela-anchor-standard	Language	K-12	Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.
32	CCSS.ELA-LITERACY.CCRA.L.6	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Language	ela-anchor-standard	Language	K-12	Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.
33	CCSS.ELA-LITERACY.RL.K.1	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	With prompting and support, ask and answer questions about key details in a text.
34	CCSS.ELA-LITERACY.RL.K.2	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	With prompting and support, retell familiar stories, including key details.
35	CCSS.ELA-LITERACY.RL.K.3	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	With prompting and support, identify characters, settings, and major events in a story.
36	CCSS.ELA-LITERACY.RL.K.4	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	Ask and answer questions about unknown words in a text.
37	CCSS.ELA-LITERACY.RL.K.5	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	Recognize common types of texts (e.g., storybooks, poems).
38	CCSS.ELA-LITERACY.RL.K.6	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.
39	CCSS.ELA-LITERACY.RL.K.7	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).
40	CCSS.ELA-LITERACY.RL.K.8	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	(RL.K.8 not applicable to literature)
41	CCSS.ELA-LITERACY.RL.K.9	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.
42	CCSS.ELA-LITERACY.RL.K.10	standard	English Language Arts Standards: Reading: Literature: Kindergarten	ela-contentarea-standard	Reading: Literature	K	Actively engage in group reading activities with purpose and understanding.
43	CCSS.ELA-LITERACY.RL.1.1	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Ask and answer questions about key details in a text.
44	CCSS.ELA-LITERACY.RL.1.2	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Retell stories, including key details, and demonstrate understanding of their central message or lesson.
45	CCSS.ELA-LITERACY.RL.1.3	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Describe characters, settings, and major events in a story, using key details.
46	CCSS.ELA-LITERACY.RL.1.4	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
47	CCSS.ELA-LITERACY.RL.1.5	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.
48	CCSS.ELA-LITERACY.RL.1.6	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Identify who is telling the story at various points in a text.
49	CCSS.ELA-LITERACY.RL.1.7	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Use illustrations and details in a story to describe its characters, setting, or events.
50	CCSS.ELA-LITERACY.RL.1.8	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	(RL.1.8 not applicable to literature)
51	CCSS.ELA-LITERACY.RL.1.9	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	Compare and contrast the adventures and experiences of characters in stories.
52	CCSS.ELA-LITERACY.RL.1.10	standard	English Language Arts Standards: Reading: Literature: Grade 1	ela-contentarea-standard	Reading: Literature	1	With prompting and support, read prose and poetry of appropriate complexity for grade 1.
53	CCSS.ELA-LITERACY.RL.2.1	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.
54	CCSS.ELA-LITERACY.RL.2.2	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral.
55	CCSS.ELA-LITERACY.RL.2.3	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Describe how characters in a story respond to major events and challenges.
56	CCSS.ELA-LITERACY.RL.2.4	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song.
57	CCSS.ELA-LITERACY.RL.2.5	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action.
58	CCSS.ELA-LITERACY.RL.2.6	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.
59	CCSS.ELA-LITERACY.RL.2.7	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot.
60	CCSS.ELA-LITERACY.RL.2.8	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	(RL.2.8 not applicable to literature)
61	CCSS.ELA-LITERACY.RL.2.9	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures.
62	CCSS.ELA-LITERACY.RL.2.10	standard	English Language Arts Standards: Reading: Literature: Grade 2	ela-contentarea-standard	Reading: Literature	2	By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2-3 text complexity band proficiently, with scaffolding as needed at the high end of the range.
63	CCSS.ELA-LITERACY.RL.3.1	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.
64	CCSS.ELA-LITERACY.RL.3.2	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.
65	CCSS.ELA-LITERACY.RL.3.3	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events
66	CCSS.ELA-LITERACY.RL.3.4	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language.
67	CCSS.ELA-LITERACY.RL.3.5	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections.
68	CCSS.ELA-LITERACY.RL.3.6	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Distinguish their own point of view from that of the narrator or those of the characters.
69	CCSS.ELA-LITERACY.RL.3.7	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Explain how specific aspects of a text's illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)
70	CCSS.ELA-LITERACY.RL.3.8	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	(RL.3.8 not applicable to literature)
71	CCSS.ELA-LITERACY.RL.3.9	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series)
72	CCSS.ELA-LITERACY.RL.3.10	standard	English Language Arts Standards: Reading: Literature: Grade 3	ela-contentarea-standard	Reading: Literature	3	By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.
73	CCSS.ELA-LITERACY.RL.4.1	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.
74	CCSS.ELA-LITERACY.RL.4.2	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Determine a theme of a story, drama, or poem from details in the text; summarize the text.
75	CCSS.ELA-LITERACY.RL.4.3	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character's thoughts, words, or actions).
76	CCSS.ELA-LITERACY.RL.4.4	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean).
77	CCSS.ELA-LITERACY.RL.4.5	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text.
78	CCSS.ELA-LITERACY.RL.4.6	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations.
79	CCSS.ELA-LITERACY.RL.4.7	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text.
80	CCSS.ELA-LITERACY.RL.4.8	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	(RL.4.8 not applicable to literature)
81	CCSS.ELA-LITERACY.RL.4.9	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures.
82	CCSS.ELA-LITERACY.RL.4.10	standard	English Language Arts Standards: Reading: Literature: Grade 4	ela-contentarea-standard	Reading: Literature	4	By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4-5 text complexity band proficiently, with scaffolding as needed at the high end of the range.
83	CCSS.ELA-LITERACY.RL.5.1	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
84	CCSS.ELA-LITERACY.RL.5.2	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text.
85	CCSS.ELA-LITERACY.RL.5.3	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact).
86	CCSS.ELA-LITERACY.RL.5.4	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes.
87	CCSS.ELA-LITERACY.RL.5.5	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem.
88	CCSS.ELA-LITERACY.RL.5.6	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Describe how a narrator's or speaker's point of view influences how events are described.
89	CCSS.ELA-LITERACY.RL.5.7	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem).
90	CCSS.ELA-LITERACY.RL.5.8	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	(RL.5.8 not applicable to literature)
91	CCSS.ELA-LITERACY.RL.5.9	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics.
92	CCSS.ELA-LITERACY.RL.5.10	standard	English Language Arts Standards: Reading: Literature: Grade 5	ela-contentarea-standard	Reading: Literature	5	By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4-5 text complexity band independently and proficiently.
93	CCSS.ELA-LITERACY.RL.6.1	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
94	CCSS.ELA-LITERACY.RL.6.2	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
95	CCSS.ELA-LITERACY.RL.6.3	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Describe how a particular story's or drama's plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.
96	CCSS.ELA-LITERACY.RL.6.4	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone
97	CCSS.ELA-LITERACY.RL.6.5	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot.
98	CCSS.ELA-LITERACY.RL.6.6	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Explain how an author develops the point of view of the narrator or speaker in a text.
99	CCSS.ELA-LITERACY.RL.6.7	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they `see` and `hear` when reading the text to what they perceive when they listen or watch.
100	CCSS.ELA-LITERACY.RL.6.8	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	(RL.6.8 not applicable to literature)
101	CCSS.ELA-LITERACY.RL.6.9	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics.
102	CCSS.ELA-LITERACY.RL.6.10	standard	English Language Arts Standards: Reading: Literature: Grade 6	ela-contentarea-standard	Reading: Literature	6	By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6-8 text complexity band proficiently, with scaffolding as needed at the high end of the range.
103	CCSS.ELA-LITERACY.RL.7.1	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
104	CCSS.ELA-LITERACY.RL.7.2	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text.
105	CCSS.ELA-LITERACY.RL.7.3	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot).
106	CCSS.ELA-LITERACY.RL.7.4	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama.
107	CCSS.ELA-LITERACY.RL.7.5	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Analyze how a drama's or poem's form or structure (e.g., soliloquy, sonnet) contributes to its meaning
108	CCSS.ELA-LITERACY.RL.7.6	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Analyze how an author develops and contrasts the points of view of different characters or narrators in a text.
109	CCSS.ELA-LITERACY.RL.7.7	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Compare and contrast a written story, drama, or poem to its audio, filmed, staged, or multimedia version, analyzing the effects of techniques unique to each medium (e.g., lighting, sound, color, or camera focus and angles in a film).
110	CCSS.ELA-LITERACY.RL.7.8	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	(RL.7.8 not applicable to literature)
111	CCSS.ELA-LITERACY.RL.7.9	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history.
112	CCSS.ELA-LITERACY.RL.7.10	standard	English Language Arts Standards: Reading: Literature: Grade 7	ela-contentarea-standard	Reading: Literature	7	By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6-8 text complexity band proficiently, with scaffolding as needed at the high end of the range.
113	CCSS.ELA-LITERACY.RL.8.1	standard	English Language Arts Standards: Reading: Literature: Grade 8	ela-contentarea-standard	Reading: Literature	8	Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
114	CCSS.ELA-LITERACY.RL.8.2	standard	English Language Arts Standards: Reading: Literature: Grade 8	ela-contentarea-standard	Reading: Literature	8	Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text.
