KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
CCSS.ELA-LITERACY.CCRA.R.1	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-LITERACY.CCRA.R.2	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-LITERACY.CCRA.R.3	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Analyze how and why individuals, events, or ideas develop and interact over the course of a text.
CCSS.ELA-LITERACY.CCRA.R.4	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.
CCSS.ELA-LITERACY.CCRA.R.5	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.
CCSS.ELA-LITERACY.CCRA.R.6	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Assess how point of view or purpose shapes the content and style of a text.
CCSS.ELA-LITERACY.CCRA.R.7	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.
CCSS.ELA-LITERACY.CCRA.R.8	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.
CCSS.ELA-LITERACY.CCRA.R.9	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
CCSS.ELA-LITERACY.CCRA.R.10	standard	English Language Arts Standards: Anchor Standards: College and Career Readiness Anchor Standards for Reading	ela-anchor-standard	Reading	K-12	Read and comprehend complex literary and informational texts independently and proficiently.
